class,plate,mjd,fiber,good,J0390,J0400,J0410,J0420,J0430,J0440,J0450,J0460,J0470,J0480,J0490,J0500,J0510,J0520,J0530,J0540,J0550,J0560,J0570,J0580,J0590,J0600,J0610,J0620,J0630,J0640,J0650,J0660,J0670,J0680,J0690,J0700,J0710,J0720,J0730,J0740,J0750,J0760,J0770,J0780,J0790,J0800,J0810,J0820,J0830,J0840,J0850,J0860,J0870,J0880,J0890,J0900,J0910
WDMS,2930,54589,298,True,19.3303,19.1495,19.0923,18.9416,19.0883,18.9612,18.7562,18.7161,18.7288,18.8977,18.8431,18.7208,18.6886,18.6494,18.4968,18.4218,18.4498,18.4451,18.3399,18.3255,18.4925,18.3233,18.2336,18.3964,18.2038,17.9503,17.8007,17.829,17.9964,18.0129,17.7814,17.5215,17.6894,17.6021,17.2501,17.0493,16.9606,16.9822,17.1344,17.0657,16.9479,16.8264,16.7181,16.6982,16.6757,16.6958,16.7154,16.6638,16.6021,16.5456,16.5512,16.514,16.4413
WDMS,424,51893,491,False,22.4607,22.4061,22.259,22.0801,21.9754,21.8923,21.8281,21.8616,21.7356,21.7053,21.5955,21.5152,21.5458,21.544,21.5655,21.4402,21.3961,21.2948,21.3378,21.4397,21.3874,21.4812,21.5564,22.856,22.856,22.856,22.856,22.856,22.856,22.856,22.856,22.856,22.856,22.856,22.856,22.856,22.856,22.856,22.856,22.856,22.856,22.856,22.856,22.856,22.856,22.856,22.856,22.856,22.856,22.856,22.856,22.856,22.856
WDMS,4668,56211,902,True,21.5214,21.3747,21.2903,21.177,21.2641,21.1426,21.0431,21.0218,21.0597,21.0805,21.0517,20.9486,20.9331,20.9145,20.8777,20.8443,20.844,20.879,20.7857,20.6901,20.6605,20.6761,20.7265,20.7785,20.665,20.7099,20.6869,20.6579,20.6947,20.6767,20.6567,20.5379,20.6304,20.6094,20.4474,20.3024,20.2291,20.2898,20.4521,20.3475,20.2556,20.135,19.9924,20.0226,20.0002,20.0354,20.1339,20.0722,19.9366,19.8271,19.8423,19.8271,19.8184
WDMS,5458,56011,80,True,20.0458,19.8726,19.8037,19.6725,19.7843,19.6398,19.4291,19.3831,19.3943,19.5205,19.4184,19.3523,19.3448,19.2524,19.0688,18.9991,19.0387,19.033,18.9125,18.8636,19.0451,18.8732,18.7676,18.9488,18.7625,18.4862,18.3055,18.3455,18.5462,18.5408,18.3058,18.0473,18.2623,18.1653,17.7922,17.5496,17.4384,17.4888,17.6904,17.6139,17.4844,17.3324,17.1973,17.1617,17.1723,17.218,17.2351,17.1715,17.095,17.0406,17.0177,16.9826,16.8791
WDMS,2334,53730,261,False,16.8791,16.8791,16.8791,16.8791,16.8791,16.8791,16.8791,16.8791,16.8791,16.8791,16.8791,16.8791,16.8791,16.8791,16.8791,16.8791,16.8791,16.8791,16.8791,16.8791,16.8791,16.8791,16.8791,16.8791,16.8791,16.8791,16.8791,16.8791,16.8791,16.8791,16.8791,16.8791,16.8791,16.8791,16.8791,16.8791,16.8791,16.8791,16.8791,16.8791,16.8791,16.8791,16.8791,16.8791,16.8791,16.8791,16.8791,16.8791,16.8791,16.8791,16.8791,16.8791,16.8791
WDMS,2334,53713,261,False,16.8791,16.8791,16.8791,16.8791,16.8791,16.8791,16.8791,16.8791,16.8791,16.8791,16.8791,16.8791,16.8791,16.8791,16.8791,16.8791,16.8791,16.8791,16.8791,16.8791,16.8791,16.8791,16.8791,16.8791,16.8791,16.8791,16.8791,16.8791,16.8791,16.8791,16.8791,16.8791,16.8791,16.8791,16.8791,16.8791,16.8791,16.8791,16.8791,16.8791,16.8791,16.8791,16.8791,16.8791,16.8791,16.8791,16.8791,16.8791,16.8791,16.8791,16.8791,16.8791,16.8791
WDMS,5385,55960,741,True,17.0258,17.0089,17.0176,16.9375,17.0396,16.9965,16.9044,16.8948,16.9082,17.0073,17.0027,16.9256,16.922,16.9137,16.8501,16.8209,16.8484,16.8507,16.8053,16.7995,16.91,16.8243,16.7792,16.8881,16.7873,16.6322,16.5147,16.5449,16.689,16.7072,16.5514,16.3609,16.5009,16.4253,16.1443,15.9646,15.8846,15.9134,16.0645,16.0041,15.9019,15.7803,15.6837,15.6672,15.6541,15.6776,15.6956,15.6576,15.6103,15.551,15.5278,15.5124,15.4144
WDMS,5384,55984,56,True,16.8372,16.8187,16.843,16.7807,16.895,16.8762,16.7993,16.8068,16.8389,16.9598,16.9654,16.9026,16.912,16.9183,16.8702,16.8502,16.8833,16.8934,16.858,16.8588,16.9748,16.8946,16.8572,16.9732,16.8783,16.7285,16.6251,16.6562,16.7944,16.8176,16.6712,16.4805,16.6184,16.5537,16.27,16.0932,16.0188,16.048,16.1974,16.1393,16.0368,15.928,15.8266,15.8074,15.7941,15.8197,15.8366,15.7997,15.7476,15.6924,15.6754,15.6542,15.5511
WDMS,4573,55587,660,True,20.6068,20.4523,20.4558,20.214,20.4434,20.3706,20.1778,20.1887,20.2263,20.5054,20.5879,20.3117,20.2866,20.3239,20.3361,20.3377,20.3593,20.4003,20.4147,20.421,20.424,20.4806,20.5416,20.5016,20.5393,20.5312,20.7082,20.8063,20.6435,20.5646,20.5869,20.5693,20.6251,20.6084,20.5396,20.5077,20.4246,20.5217,20.6458,20.6828,20.7538,20.6302,20.4632,20.3879,20.5153,20.5897,20.5545,20.4558,20.3507,20.4614,20.5787,20.4234,20.1422
WDMS,4362,55828,237,True,22.0879,21.9522,21.8625,21.6274,21.805,21.7299,21.5207,21.461,21.5137,21.7546,21.7455,21.5685,21.4812,21.4731,21.4178,21.3662,21.3777,21.3881,21.4147,21.4632,21.5279,21.5394,21.4979,21.4753,21.3635,21.4396,21.388,21.5091,21.4337,21.3543,21.2481,21.1451,21.2367,21.3185,20.9593,20.7345,20.723,20.6644,20.8612,20.8142,20.7313,20.3844,20.3373,20.4217,20.3464,20.2752,20.4753,20.3985,20.2527,19.9955,20.252,20.1718,20.0789
