class,plate,mjd,fiber,good,J0390,J0400,J0410,J0420,J0430,J0440,J0450,J0460,J0470,J0480,J0490,J0500,J0510,J0520,J0530,J0540,J0550,J0560,J0570,J0580,J0590,J0600,J0610,J0620,J0630,J0640,J0650,J0660,J0670,J0680,J0690,J0700,J0710,J0720,J0730,J0740,J0750,J0760,J0770,J0780,J0790,J0800,J0810,J0820,J0830,J0840,J0850,J0860,J0870,J0880,J0890,J0900,J0910
QSO,5419,55983,634,True,19.5627,19.5961,19.7203,19.6645,19.2822,19.2103,19.529,19.5476,19.5868,19.696,19.6543,19.6487,19.6444,19.5923,19.428,19.3487,19.5944,19.6499,19.6243,19.5863,19.5656,19.6142,19.6344,19.6402,19.6347,19.5788,19.4962,19.4655,19.4826,19.4507,19.416,19.381,19.3708,19.3969,19.4133,19.3912,19.4292,19.3882,19.2626,19.1205,18.8756,19.1473,19.2525,19.2997,19.2682,19.2522,19.3148,19.3734,19.3169,19.2036,19.207,19.19,19.1308
QSO,1242,52901,494,True,19.4886,19.5152,19.6011,19.606,19.5503,19.5206,19.4262,19.1969,19.2926,19.4564,19.4474,19.3698,19.3464,19.3497,19.3163,19.294,19.2545,19.1303,19.1068,19.0988,19.0612,19.0397,19.0085,19.0278,19.0244,19.0105,18.9965,18.9158,18.7458,18.5658,18.7747,18.8775,18.8614,18.8642,18.9137,18.9191,18.8523,18.7649,18.7637,18.7279,18.732,18.7528,18.7202,18.7242,18.68,18.7249,18.7302,18.7392,18.7287,18.7259,18.7029,18.6458,18.514
QSO,7692,57064,4,True,20.8973,20.8559,20.6228,20.2952,20.4591,20.4531,20.4464,20.4551,20.401,20.3628,20.3259,20.2666,20.1175,20.0022,20.1526,20.1746,20.0879,19.9506,20.0942,20.097,20.0898,20.0917,20.0755,19.9964,19.7263,19.9382,19.8897,19.851,19.8482,19.8269,19.8256,19.8074,19.8011,19.8077,19.7801,19.7678,19.726,19.466,19.554,19.6514,19.645,19.6526,19.6411,19.6736,19.7218,19.677,19.6362,19.6097,19.5501,19.5499,19.5116,19.5361,19.5086
QSO,8232,58135,841,True,20.5213,20.5726,20.4628,20.6385,20.7198,20.6123,19.9629,20.0549,20.4902,20.5283,20.6026,20.6897,20.6866,20.696,20.7234,20.6585,20.5196,20.3289,20.5977,20.7259,20.7863,20.759,20.6936,20.6652,20.7089,20.7089,20.702,20.7053,20.6562,20.6067,20.6085,20.5509,20.5258,20.4924,20.5487,20.5748,20.5488,20.5242,20.4359,20.423,20.469,20.4565,20.4061,20.156,20.1877,20.2153,20.2498,20.2962,20.3448,20.3974,20.4402,20.4934,20.4419
QSO,6293,56561,516,True,21.4474,21.5534,21.4405,21.2655,20.3712,20.1624,20.7436,20.9791,20.9894,21.0137,20.9668,20.8206,20.9103,20.9901,20.9544,20.7929,20.226,20.182,20.5906,20.6496,20.676,20.7064,20.7512,20.7109,20.7094,20.6701,20.6182,20.5822,20.4517,20.27,20.4037,20.5406,20.6107,20.6149,20.591,20.5239,20.5041,20.5309,20.4816,20.538,20.4821,20.4836,20.4952,20.4146,20.3355,20.3048,20.2947,20.3809,20.3561,20.2686,20.249,20.216,20.123
QSO,6622,56365,354,True,21.449,20.8045,20.6909,21.196,21.3899,21.3609,21.4145,21.3509,21.3272,21.4512,21.354,21.1618,20.7008,20.6823,21.0839,21.1342,21.2296,21.2983,21.2632,21.2815,21.2553,21.2732,21.1442,20.9797,20.8237,20.8903,21.1544,21.1939,21.2137,21.1633,21.1802,21.1857,21.2066,21.1033,20.9976,21.1194,21.1014,21.065,20.9594,20.9586,20.9488,20.9921,21.0622,20.9038,20.8626,20.8388,20.8872,20.8649,20.8698,20.9014,20.7911,20.8784,20.7039
QSO,1465,53082,280,True,19.401,19.4108,19.2649,19.2384,19.2154,19.1893,19.1403,19.1533,19.1489,19.1216,19.0661,19.1893,19.162,19.2146,19.2318,19.1992,19.2823,19.2807,18.9579,19.0204,19.0515,19.0859,19.049,18.9855,18.8381,18.4557,18.5609,18.4579,19.0117,18.9848,18.9108,18.8951,18.9271,18.8922,18.8852,18.9028,18.8472,18.7999,18.7222,18.6662,18.7583,18.7437,18.7429,18.7363,18.6287,18.5958,18.4433,17.4468,17.3936,18.319,18.5002,18.5492,18.4934
QSO,6464,56309,49,True,19.6991,19.8233,19.8433,19.8016,19.6342,19.7375,19.8123,19.74,19.4696,19.3981,19.6784,19.6528,19.6546,19.7295,19.731,19.7161,19.7238,19.7107,19.6588,19.497,19.4567,19.6644,19.7071,19.7075,19.6993,19.6672,19.7054,19.7246,19.7285,19.7484,19.7466,19.6815,19.6295,19.6706,19.676,19.6119,19.5911,19.6044,19.5934,19.5893,19.5833,19.6071,19.5756,19.5754,19.581,19.5372,19.4654,19.2479,19.2555,19.4589,19.5978,19.5712,19.4189
QSO,7838,56958,940,True,21.8091,21.9942,22.0129,21.9532,21.6055,21.5111,21.9061,21.8954,21.8821,21.8694,21.7883,21.7088,21.6765,21.6381,21.6717,21.6751,21.7155,21.7893,21.618,21.3843,21.4658,21.4915,21.4447,21.486,21.3203,21.2803,21.328,21.3484,21.2114,21.107,21.112,20.9928,20.9702,20.9674,20.8684,20.7718,20.7269,20.6499,20.7521,20.6103,20.8107,20.7718,20.7906,20.779,20.7741,20.689,20.6897,20.6191,20.6312,20.7484,20.6146,20.5312,20.4605
QSO,5056,55921,914,True,20.7637,20.8633,20.7243,20.7018,20.809,20.8224,20.3921,20.1035,20.4138,20.4912,20.4929,20.6079,20.3954,20.2767,20.4296,20.4538,20.5975,20.8247,20.0216,20.1588,20.212,20.1892,20.2297,20.2734,20.1861,20.1753,20.197,20.2102,20.2128,20.1182,20.012,19.9602,20.0628,20.1549,20.2062,20.1817,20.2197,20.2031,20.3186,20.2192,20.1517,20.2429,20.1993,20.2552,20.4174,20.2293,20.1231,20.0364,20.139,20.1496,20.008,19.9852,19.924
