class,plate,mjd,fiber,good,J0390,J0400,J0410,J0420,J0430,J0440,J0450,J0460,J0470,J0480,J0490,J0500,J0510,J0520,J0530,J0540,J0550,J0560,J0570,J0580,J0590,J0600,J0610,J0620,J0630,J0640,J0650,J0660,J0670,J0680,J0690,J0700,J0710,J0720,J0730,J0740,J0750,J0760,J0770,J0780,J0790,J0800,J0810,J0820,J0830,J0840,J0850,J0860,J0870,J0880,J0890,J0900,J0910
CV,11045,58485,387,True,20.3478,20.4604,20.4093,20.5222,20.3285,20.3028,20.3435,20.3306,20.349,20.119,20.0472,20.2256,20.1702,20.1184,20.1254,20.1092,20.1145,20.1142,20.0504,19.9538,19.9406,20.0076,19.9845,19.9835,19.9559,19.8737,19.3628,19.2745,19.7912,19.8091,19.7892,19.6862,19.653,19.6482,19.5049,19.4092,19.3772,19.4096,19.4291,19.3585,19.3034,19.2162,19.1206,19.1233,19.0856,19.0305,18.9638,18.9715,18.9513,18.9799,18.9424,18.9022,18.9077
CV,944,52614,397,True,19.3596,19.5908,19.7192,20.036,19.6177,19.656,19.9081,20.0141,20.0523,19.5187,19.4476,19.9894,19.9559,19.9105,19.958,19.9616,19.964,19.9908,20.0128,19.8025,19.7176,19.9362,19.8774,19.8263,19.7817,19.7696,18.8637,18.7538,19.6061,19.7111,19.6994,19.6252,19.5564,19.5748,19.5364,19.4967,19.4456,19.4174,19.4278,19.3762,19.3221,19.1885,19.2261,19.2125,19.2736,19.1479,18.9667,18.9441,19.0488,19.0835,19.0452,19.0844,19.0915
CV,7384,56715,818,True,19.6157,19.8487,19.9778,20.32,19.86,19.873,20.137,20.2508,20.2684,19.7299,19.6698,20.2192,20.2116,20.1719,20.235,20.2457,20.2732,20.2667,20.2776,20.0559,19.93,20.2407,20.2254,20.2163,20.1786,20.1832,19.2187,19.0846,20.0156,20.1906,20.1577,19.9927,19.979,20.0556,19.9632,19.9404,19.9181,19.948,19.9041,19.8482,19.8903,19.7822,19.6959,19.639,19.6461,19.6334,19.4004,19.388,19.4262,19.5138,19.5279,19.4719,19.4434
CV,1717,53883,260,True,18.3058,18.5795,18.6568,19.0333,18.5744,18.5616,18.9139,19.0465,19.0161,18.4534,18.4182,18.9492,18.9957,18.9755,19.0074,19.0229,19.0031,18.9819,19.007,18.7565,18.6746,18.9816,18.9727,18.9734,18.9085,18.8744,18.0607,17.9661,18.7277,18.887,18.8539,18.7227,18.7104,18.7789,18.7185,18.7077,18.6569,18.673,18.5907,18.5461,18.5905,18.5695,18.5429,18.4958,18.476,18.4242,18.3644,18.3551,18.355,18.3923,18.5472,18.3911,18.4568
CV,633,52079,574,True,19.2532,19.2708,19.2329,19.2563,19.1187,19.0892,19.115,19.0691,19.0138,18.9482,18.901,18.9294,18.9009,18.8753,18.842,18.8049,18.7824,18.7577,18.7341,18.6858,18.6569,18.6762,18.6729,18.6446,18.6016,18.5814,18.4613,18.4294,18.4865,18.4913,18.4888,18.4557,18.4147,18.4059,18.3599,18.3352,18.3093,18.2932,18.2852,18.2455,18.2457,18.2157,18.1825,18.1495,18.1361,18.1242,18.0967,18.0686,18.0566,18.0224,18.0259,17.9935,17.9689
CV,8544,58281,405,True,19.9408,19.9713,19.8904,19.9944,19.6978,19.6645,19.8139,19.749,19.6094,19.5146,19.4371,19.5915,19.5362,19.5046,19.4932,19.4478,19.455,19.4535,19.3943,19.2897,19.2613,19.3514,19.3668,19.3465,19.2548,19.2007,18.8577,18.7963,19.1063,19.1538,19.1254,19.0472,19.0272,19.0429,18.9422,18.8864,18.85,18.8384,18.8749,18.847,18.7998,18.7292,18.6423,18.6048,18.6064,18.6075,18.592,18.5618,18.5459,18.5134,18.5187,18.4841,18.4058
CV,1786,54450,573,True,19.4992,19.4791,19.6091,19.6264,19.5457,19.5228,19.4929,19.4916,19.5182,19.406,19.3787,19.5487,19.506,19.4568,19.4637,19.4801,19.5034,19.5056,19.5017,19.4836,19.4898,19.5406,19.5077,19.5513,19.5306,19.4879,18.9165,18.8499,19.4749,19.5037,19.4052,19.2907,19.3735,19.35,19.1791,19.0193,18.9169,18.9408,19.1852,19.0772,18.9488,18.8827,18.673,18.629,18.6228,18.6222,18.5249,18.5405,18.58,18.5538,18.534,18.4501,18.3528
CV,344,51693,315,True,18.8424,18.8128,18.8153,18.778,18.7416,18.6757,18.5959,18.574,18.5917,18.5914,18.5534,18.5599,18.5173,18.469,18.4802,18.474,18.4737,18.4734,18.4921,18.4343,18.4275,18.4753,18.4502,18.4467,18.4327,18.4494,18.1513,18.1067,18.3918,18.3918,18.3534,18.3095,18.3314,18.35,18.2977,18.1679,18.1331,18.1468,18.2296,18.2035,18.1599,18.0632,17.9457,17.9247,17.9418,17.9177,17.8318,17.813,17.7808,17.8607,17.8924,17.8144,17.7538
CV,1011,52652,345,True,18.5585,18.586,18.5567,18.6429,18.5246,18.5066,18.5999,18.5887,18.5303,18.4939,18.468,18.6111,18.6198,18.6223,18.6191,18.6018,18.6146,18.6345,18.6189,18.544,18.5269,18.6374,18.6597,18.6691,18.6431,18.6393,18.4483,18.3931,18.565,18.6037,18.6038,18.5794,18.5799,18.6,18.5965,18.596,18.6297,18.6328,18.6226,18.6134,18.6193,18.6203,18.6125,18.6026,18.6172,18.6865,18.6108,18.6289,18.7085,18.752,18.7476,18.6396,18.6777
CV,8172,57423,387,True,18.5593,18.6289,18.6562,18.7666,18.6922,18.7303,18.8234,18.8243,18.8224,18.7878,18.7989,18.9793,19.0188,19.0317,19.0501,19.0468,19.063,19.081,19.0874,19.0489,19.0288,19.0756,19.075,19.0784,19.1041,19.1091,18.8816,18.85,19.0808,19.1274,19.1379,19.1254,19.1433,19.1701,19.1688,19.1972,19.2401,19.2525,19.2554,19.2836,19.2815,19.2727,19.2691,19.2411,19.2556,19.2375,19.2509,19.2183,19.2146,19.2186,19.2814,19.2769,19.2476
CV,6707,56383,384,True,19.5323,19.7144,19.7319,20.0095,19.5902,19.6071,19.8307,19.8017,19.7359,19.6204,19.6388,20.058,20.1225,20.1469,20.172,20.1456,20.1853,20.1775,20.1422,19.996,19.9346,20.0866,20.0723,20.0573,20.0296,20.0002,19.5194,19.4646,19.8787,20.015,20.0679,20.0586,20.0704,20.0876,20.0873,20.1566,20.1481,20.1473,20.102,20.0707,20.1105,20.1059,20.1367,20.1215,20.0697,20.0879,20.1353,20.2053,20.2274,20.2923,20.2412,20.1772,20.2041
CV,2212,53789,201,True,17.7264,17.7156,17.6757,17.6643,17.5938,17.527,17.5622,17.5666,17.5984,17.6903,17.6293,17.5387,17.4386,17.4287,17.4055,17.3939,17.4282,17.4576,17.4565,17.4572,17.4988,17.5143,17.5916,17.6351,17.5185,17.4945,17.4905,17.4539,17.491,17.5367,17.4973,17.2941,17.3963,17.3393,17.0459,16.8248,16.7281,16.8125,17.0827,16.9728,16.8404,16.6537,16.418,16.3751,16.3729,16.4415,16.5277,16.4261,16.329,16.2027,16.1859,16.1183,15.9911
CV,2210,53535,592,True,18.0029,18.1203,18.1117,18.3036,17.9939,18.0102,18.1411,18.1907,18.171,17.8967,17.8187,18.0764,18.0878,18.0616,18.0755,18.0751,18.076,18.06,18.0574,17.9868,17.9511,18.0402,18.0212,18.0205,18.0068,17.9837,17.6148,17.5532,17.9199,17.9805,17.981,17.9315,17.9245,17.9465,17.9203,17.9232,17.9096,17.9093,17.9193,17.9043,17.9184,17.895,17.8857,17.8628,17.8573,17.8453,17.8083,17.842,17.8772,17.8939,17.9426,17.927,17.9201
CV,343,51692,198,True,19.1323,19.2273,19.2811,19.4216,19.2262,19.2672,19.3478,19.3977,19.4592,19.1923,19.1271,19.3951,19.3494,19.3202,19.387,19.3923,19.423,19.4634,19.4638,19.31,19.2456,19.4167,19.4304,19.4158,19.3862,19.3734,18.6079,18.4931,19.2829,19.3932,19.3412,19.2435,19.2363,19.2808,19.2478,19.1795,19.0937,19.1117,19.1605,19.1607,19.1215,19.0027,18.8907,18.8243,18.8875,18.8817,18.681,18.6368,18.6069,18.7655,18.8609,18.746,18.5879
CV,2170,53875,441,True,15.7372,15.8928,15.898,16.0866,15.7878,15.748,15.8753,15.82,15.7209,15.5962,15.534,15.5994,15.5295,15.4816,15.4423,15.398,15.3755,15.3383,15.2887,15.2771,15.2514,15.3058,15.3296,15.2038,15.1392,15.1019,14.881,14.8324,15.0069,15.0304,15.0568,15.0692,15.0646,15.0408,15.0067,14.9843,14.9657,14.961,14.9539,14.9519,14.9727,14.9785,14.9719,14.9356,14.9396,14.9444,14.9122,14.8908,14.8721,14.8446,14.8953,14.8657,14.8562
CV,1199,52703,286,True,18.5427,18.5512,18.4778,18.5528,18.4605,18.453,18.4698,18.4969,18.5252,18.4867,18.4488,18.5166,18.5137,18.5234,18.5389,18.5464,18.5443,18.5615,18.5886,18.6282,18.6442,18.6652,18.6391,18.6603,18.6825,18.71,18.613,18.5686,18.6926,18.7286,18.7496,18.7623,18.7734,18.778,18.7508,18.7983,18.833,18.8167,18.8241,18.8011,18.8052,18.8579,18.8419,18.8862,18.9166,18.8845,18.915,18.9249,18.9267,18.997,19.0247,18.9666,18.8227
CV,764,52238,589,True,19.2816,19.3973,19.4166,19.578,19.3342,19.3766,19.4602,19.4763,19.5029,19.227,19.1444,19.4811,19.4828,19.4699,19.4774,19.4976,19.5221,19.5312,19.522,19.4045,19.31,19.4668,19.445,19.4468,19.4657,19.4149,18.7982,18.6713,19.3123,19.3967,19.3784,19.2771,19.3025,19.318,19.185,19.1572,19.1473,19.1339,19.199,19.1592,19.1286,19.0546,18.9946,19.0216,18.9555,18.9439,18.8307,18.8552,18.9985,18.9897,18.8386,18.848,18.9076
CV,2237,53828,560,True,18.1754,18.4172,18.5614,18.8018,18.4399,18.4471,18.6457,18.7537,18.7729,18.3246,18.256,18.6328,18.5999,18.5257,18.5846,18.5872,18.6088,18.5949,18.5875,18.4333,18.3212,18.5222,18.4894,18.4331,18.4103,18.4077,17.7956,17.7153,18.2788,18.3629,18.3411,18.2523,18.2168,18.2511,18.2278,18.2255,18.2163,18.2056,18.1348,18.1024,18.1288,18.1315,18.0727,18.0544,18.0701,18.0163,17.7753,17.7665,17.8974,18.0372,18.0536,17.993,17.9197
CV,11397,58522,260,True,21.2038,21.0808,21.1301,21.0778,21.0867,20.9666,20.9565,20.9635,20.9758,20.8894,20.933,20.9527,20.9209,20.9644,20.9299,20.9446,20.9422,20.9554,20.9327,20.8476,20.9023,20.9802,21.0093,20.9419,20.9766,20.9947,20.6533,20.6425,20.9409,20.9207,20.8371,20.7552,20.8561,20.8035,20.5129,20.3577,20.2705,20.4415,20.639,20.4974,20.4857,20.2513,19.9201,19.8687,19.8358,19.9528,20.0119,19.952,19.8485,19.6738,19.7185,19.5957,19.4308
CV,6478,56341,80,True,19.7992,19.9411,20.0394,20.1193,19.9192,19.9549,20.0626,20.0951,20.1352,19.8483,19.8358,20.1733,20.1643,20.1233,20.163,20.1716,20.2098,20.2655,20.2193,20.0935,20.0396,20.2367,20.2214,20.2056,20.2241,20.2101,19.4316,19.3631,20.1276,20.2231,20.2132,20.1414,20.1481,20.1702,20.0544,20.0326,19.9537,19.9818,20.0712,20.0533,19.9839,19.8487,19.7448,19.6412,19.6732,19.6924,19.576,19.5482,19.613,19.6893,19.6228,19.5266,19.3332
CV,6481,56363,534,True,19.3872,19.5792,19.6738,19.8823,19.5187,19.5228,19.7562,19.8359,19.8486,19.335,19.3135,19.8212,19.8094,19.759,19.8205,19.8275,19.8662,19.8844,19.8954,19.6491,19.5675,19.9141,19.8759,19.8308,19.8423,19.8062,18.7021,18.6144,19.6361,19.8151,19.7907,19.653,19.6305,19.707,19.6609,19.6259,19.5595,19.6169,19.5586,19.5479,19.5979,19.5063,19.3717,19.3139,19.3709,19.3864,19.1191,19.1167,19.2418,19.2559,19.2834,19.1341,19.0146
CV,2701,54154,411,True,20.9439,21.1089,21.0494,21.1004,20.9176,20.7957,20.7839,20.7926,20.743,20.5108,20.4516,20.5766,20.5671,20.4945,20.4172,20.3611,20.3406,20.2821,20.2106,20.102,20.0847,20.0954,20.0822,20.0464,20.0169,20.0011,19.7732,19.7364,19.889,19.9016,19.8772,19.8591,19.8123,19.7938,19.7534,19.7756,19.7615,19.7621,19.7111,19.6087,19.6057,19.6297,19.6631,19.5984,19.5108,19.5094,19.4727,19.4886,19.4219,19.3348,19.4627,19.5515,19.5338
CV,5941,56193,722,True,15.9857,15.9171,15.9311,15.8761,15.9424,15.9537,15.9344,15.9383,15.9487,16.0196,16.0499,16.0127,16.0278,16.0521,16.0637,16.0784,16.0954,16.1133,16.128,16.149,16.176,16.1799,16.2012,16.2182,16.2344,16.2496,16.2897,16.3148,16.3071,16.3208,16.3408,16.3606,16.3809,16.3922,16.412,16.4285,16.4449,16.4587,16.4834,16.5001,16.517,16.5308,16.5474,16.5602,16.5737,16.59,16.5952,16.6137,16.6335,16.639,16.6328,16.6523,16.5235
CV,3658,55205,726,True,16.0,15.9515,15.9708,15.9418,16.0334,16.0577,16.0499,16.0639,16.0876,16.1687,16.2086,16.1781,16.1979,16.2316,16.2489,16.2679,16.2879,16.3113,16.3329,16.3595,16.3911,16.4011,16.4271,16.4492,16.4701,16.4927,16.5331,16.5556,16.5514,16.5673,16.5854,16.6024,16.6235,16.6336,16.6535,16.6688,16.6781,16.6903,16.7198,16.7299,16.7458,16.7551,16.7672,16.7868,16.8002,16.8112,16.8231,16.8359,16.8493,16.8637,16.8585,16.8697,16.7306
CV,380,51792,575,True,19.7838,19.9076,19.9532,20.1091,19.7663,19.7535,19.9038,19.9277,19.9454,19.556,19.512,19.9058,19.8722,19.8725,19.8638,19.8488,19.8517,19.8108,19.8326,19.6452,19.6504,19.7892,19.755,19.8232,19.7686,19.7697,18.9202,18.8598,19.6027,19.6689,19.6889,19.5433,19.5455,19.5162,19.374,19.253,19.2052,19.2426,19.352,19.2197,19.1356,19.0242,18.9517,18.9221,19.0032,18.9536,18.8137,18.5917,18.674,18.8496,18.8979,18.7335,18.6722
CV,352,51789,33,True,16.1701,16.1934,16.1993,16.2713,16.2152,16.2443,16.3235,16.3342,16.3437,16.2775,16.2804,16.3989,16.4187,16.4309,16.4476,16.4651,16.4816,16.4946,16.5199,16.5083,16.5055,16.5524,16.5696,16.5754,16.5909,16.5968,16.3785,16.3545,16.6009,16.6426,16.65,16.6441,16.6619,16.6739,16.6767,16.6869,16.6958,16.6963,16.7159,16.7215,16.7379,16.7301,16.7425,16.7493,16.7402,16.7336,16.7178,16.7337,16.7643,16.7921,16.7981,16.8,16.7214
CV,352,51694,26,True,17.8528,18.0509,18.0661,18.3743,17.9648,17.9822,18.218,18.2846,18.2511,17.8064,17.7443,18.1424,18.1508,18.1256,18.1306,18.126,18.1275,18.1266,18.0888,17.9465,17.8693,18.0433,18.0276,17.9936,17.9587,17.9541,17.363,17.2738,17.8272,17.9261,17.9076,17.8382,17.8282,17.8498,17.816,17.8138,17.8013,17.7918,17.7617,17.7551,17.7566,17.7571,17.7358,17.7049,17.708,17.6743,17.6007,17.5912,17.6083,17.6109,17.6477,17.643,17.6679
CV,513,51989,70,True,18.1058,18.197,18.2879,18.2533,18.2727,18.2642,18.202,18.2058,18.252,18.2435,18.2317,18.2618,18.2165,18.1894,18.2119,18.2212,18.2386,18.2558,18.2481,18.2229,18.2167,18.2693,18.2468,18.2525,18.2381,18.2167,17.8429,17.7678,18.1805,18.1835,18.1396,18.067,18.0839,18.052,17.9309,17.8372,17.7949,17.8203,17.9026,17.8291,17.7658,17.6765,17.6036,17.5722,17.5228,17.5134,17.465,17.4497,17.4462,17.4178,17.4325,17.4071,17.3463
CV,4740,55651,188,True,18.4304,18.5628,18.6194,18.6565,18.526,18.5185,18.5083,18.5314,18.5659,18.3929,18.3411,18.5234,18.4802,18.4362,18.4614,18.4563,18.479,18.4826,18.4668,18.385,18.3655,18.4613,18.4411,18.4495,18.4295,18.3903,17.8146,17.7136,18.338,18.3654,18.3095,18.194,18.2235,18.2095,18.0519,17.9456,17.8883,17.9196,17.9948,17.9317,17.8695,17.7581,17.66,17.64,17.6117,17.5998,17.4811,17.4814,17.4891,17.5043,17.511,17.4748,17.3956
CV,8494,57104,680,True,18.729,18.7971,18.8359,18.8277,18.7556,18.7579,18.7729,18.7796,18.8081,18.7095,18.6885,18.7453,18.7013,18.651,18.6766,18.6806,18.6899,18.6807,18.6876,18.6486,18.6174,18.665,18.6353,18.6139,18.6013,18.5939,18.2549,18.2346,18.5437,18.5473,18.5203,18.4821,18.4663,18.4529,18.4151,18.3842,18.3647,18.3559,18.3399,18.3286,18.3163,18.2781,18.2154,18.1858,18.1573,18.1468,18.0415,18.0854,18.1258,18.0904,18.0925,18.0521,17.9821
CV,2268,53682,69,True,18.1725,18.3609,18.4438,18.6143,18.3522,18.3686,18.4994,18.5371,18.5294,18.2457,18.1836,18.4419,18.4307,18.3751,18.4027,18.3815,18.3795,18.3807,18.3695,18.279,18.2176,18.3378,18.3057,18.2824,18.2641,18.24,17.8418,17.7714,18.146,18.1869,18.1448,18.0945,18.0849,18.0806,18.0222,18.0031,17.9856,18.0041,17.9902,17.9588,17.954,17.9172,17.8995,17.8752,17.8452,17.8233,17.7186,17.7339,17.765,17.7923,17.805,17.7352,17.7427
CV,1588,52965,294,True,20.8532,21.054,21.116,21.1192,20.9589,20.9539,20.9744,21.0903,21.0791,20.8903,20.8776,21.0641,20.9416,20.8889,20.8961,20.9147,20.9554,20.8981,20.866,20.7907,20.7203,20.7999,21.0088,20.9206,20.7549,20.7508,20.042,19.9306,20.6208,20.7425,20.6883,20.6046,20.6397,20.7332,20.6654,20.4305,20.3601,20.3759,20.5619,20.1984,20.1576,20.3215,20.0298,19.9588,20.0846,19.9961,19.9588,19.8563,19.8832,19.9508,20.1269,20.0689,20.0084
CV,2372,53768,473,True,18.0671,18.223,18.3157,18.3408,18.2785,18.2577,18.2915,18.3245,18.3796,18.2426,18.2394,18.3871,18.341,18.2959,18.3419,18.3675,18.3903,18.4148,18.4249,18.3475,18.2977,18.4046,18.3822,18.3363,18.347,18.3595,17.8679,17.8315,18.3127,18.3463,18.3165,18.2591,18.2387,18.25,18.2222,18.1924,18.1466,18.1371,18.1476,18.1429,18.1322,18.0649,17.9785,17.9475,17.8909,17.8939,17.7491,17.7253,17.7831,17.8068,17.8416,17.7154,17.6916
CV,9571,57808,520,True,18.2207,18.3661,18.4256,18.4811,18.3619,18.3307,18.3904,18.4362,18.4703,18.2583,18.2456,18.4752,18.4445,18.3989,18.4497,18.4689,18.4926,18.5103,18.51,18.4041,18.3586,18.5231,18.5065,18.4941,18.4895,18.4957,17.7936,17.7521,18.4213,18.4822,18.4545,18.3752,18.366,18.4076,18.3299,18.2863,18.2636,18.2781,18.2579,18.2362,18.2366,18.1838,18.0771,18.0358,18.0076,17.9928,17.873,17.8616,17.8757,17.8934,17.9244,17.878,17.7982
