class,plate,mjd,fiber,good,J0390,J0400,J0410,J0420,J0430,J0440,J0450,J0460,J0470,J0480,J0490,J0500,J0510,J0520,J0530,J0540,J0550,J0560,J0570,J0580,J0590,J0600,J0610,J0620,J0630,J0640,J0650,J0660,J0670,J0680,J0690,J0700,J0710,J0720,J0730,J0740,J0750,J0760,J0770,J0780,J0790,J0800,J0810,J0820,J0830,J0840,J0850,J0860,J0870,J0880,J0890,J0900,J0910
OBA,336,51999,404,True,17.2602,17.0926,17.122,17.0476,17.1581,17.1529,17.0919,17.1069,17.1187,17.2363,17.2529,17.1754,17.188,17.2097,17.2169,17.2261,17.2352,17.2397,17.2623,17.2706,17.2917,17.3097,17.3107,17.2961,17.0239,17.3256,17.4284,17.4581,17.3872,17.4014,17.4215,17.4394,17.4413,17.4625,17.4713,17.4856,17.4913,17.4993,17.5248,17.5349,17.5276,17.5394,17.5587,17.578,17.6028,17.6227,17.6013,17.5702,17.5732,17.57,17.553,17.5526,17.4389
OBA,344,51693,416,True,16.1367,15.9247,15.8614,15.7764,15.8153,15.7745,15.7095,15.6725,15.6434,15.6889,15.6845,15.6122,15.5958,15.5922,15.5625,15.5488,15.5257,15.51,15.4936,15.479,15.4695,15.4556,15.4478,15.4439,15.432,15.4346,15.4771,15.4727,15.4081,15.4016,15.395,15.3929,15.3899,15.3888,15.3859,15.3804,15.3752,15.3667,15.3697,15.3629,15.3568,15.3519,15.3572,15.3533,15.3545,15.3498,15.3552,15.3668,15.3505,15.3303,15.3325,15.3366,15.268
OBA,346,51693,33,True,17.4965,17.3201,17.2724,17.1903,17.2333,17.192,17.1239,17.0972,17.0735,17.1081,17.0983,17.0285,17.011,16.9998,16.9871,16.9847,16.9742,16.9648,16.9671,16.9664,16.9624,16.9556,16.9546,16.9479,16.9453,16.9443,16.9886,16.9879,16.9436,16.9423,16.9406,16.9429,16.9518,16.9495,16.9519,16.9585,16.9616,16.9538,16.9685,16.9715,16.9685,16.9655,16.9784,16.969,16.9843,16.9708,16.9978,17.002,16.9737,16.9499,16.9555,16.9789,16.9032
OBA,354,51792,404,True,21.8104,21.9654,22.0591,22.2828,22.7291,22.598,22.6898,22.8687,22.8341,22.9518,22.8771,22.8125,22.7677,22.7435,22.5727,22.5014,22.3842,22.3147,22.6538,22.2506,22.206,22.1924,22.2748,22.1234,22.1464,22.3523,22.4553,22.54,22.5473,22.5435,22.2647,22.379,22.6628,22.5172,22.2736,22.1064,22.0976,21.7519,21.7695,21.4864,21.7419,21.3384,21.6981,21.875,21.2409,20.9729,21.2454,21.3661,20.8309,20.5816,20.2706,20.3963,20.8534
OBA,363,51989,32,True,17.4001,17.2541,17.2003,17.14,17.1614,17.115,17.0414,16.9963,16.9538,16.9659,16.94,16.8849,16.8652,16.8437,16.8088,16.7947,16.7615,16.7277,16.7228,16.7159,16.7003,16.6869,16.6728,16.6562,16.6366,16.6278,16.6553,16.6407,16.5869,16.5788,16.5675,16.5577,16.544,16.5395,16.531,16.5244,16.5196,16.507,16.4972,16.4856,16.4859,16.4778,16.4733,16.4707,16.4613,16.456,16.4647,16.465,16.448,16.4456,16.435,16.4342,16.3772
OBA,374,51791,585,True,18.4648,18.235,18.2083,18.0646,18.2399,18.1618,18.0856,18.0875,18.0886,18.2705,18.2785,18.1566,18.1669,18.1798,18.1844,18.2018,18.227,18.2351,18.2507,18.2634,18.2512,18.2493,18.2783,18.3002,18.3086,18.3335,18.4437,18.4299,18.3533,18.3711,18.3718,18.3774,18.3904,18.4447,18.4655,18.4528,18.4498,18.4616,18.5153,18.5655,18.5391,18.5315,18.5596,18.522,18.5624,18.6781,18.6111,18.6415,18.6563,18.7514,18.7865,18.5774,18.3811
OBA,425,51898,486,True,18.2631,18.036,18.0145,17.9013,17.9957,17.9505,17.8863,17.8764,17.8656,17.9457,17.9573,17.8635,17.8626,17.8784,17.8695,17.8742,17.868,17.8772,17.8769,17.8721,17.8823,17.8927,17.8959,17.8927,17.8868,17.9028,17.9782,17.9929,17.9168,17.9219,17.9256,17.9357,17.941,17.9388,17.9433,17.9695,17.9619,17.9391,17.9586,17.971,17.9841,18.0159,18.0068,18.0168,18.0287,18.0375,18.0253,18.0321,18.0035,17.9891,18.0039,18.0229,17.9652
OBA,439,51877,254,True,19.6592,19.7106,19.6846,19.6707,19.7003,19.8585,19.8528,19.7551,19.7919,19.7862,19.8944,19.9001,19.8645,19.8841,19.9012,19.8802,19.8687,19.9073,19.9789,20.0995,20.1615,20.1008,20.1616,20.1956,20.2236,20.2029,20.2348,20.2755,20.3407,20.3661,20.3377,20.3045,20.4034,20.4549,20.6523,20.5343,20.4501,20.5289,20.6177,20.681,20.7652,20.7039,20.7098,20.4857,20.404,20.5141,20.6619,20.6377,20.833,20.7712,20.7123,20.8077,20.4556
OBA,451,51908,581,True,19.1542,18.9723,18.9466,18.8381,18.9712,18.9495,18.8553,18.8602,18.8639,18.9718,18.9867,18.8829,18.8938,18.9066,18.9176,18.9277,18.899,18.8818,18.8883,18.9013,18.8987,18.8952,18.9295,18.9614,18.961,18.9752,19.034,19.0557,18.9743,18.9724,18.9693,18.9819,19.0173,19.0216,19.0229,19.0532,19.055,19.0197,19.0501,19.0409,19.0817,19.1076,19.0983,19.0839,19.111,19.1118,19.1463,19.1315,19.1211,19.2641,19.2479,19.2793,19.081
OBA,468,51912,123,True,19.7029,19.5356,19.446,19.3469,19.3814,19.3512,19.263,19.2206,19.174,19.196,19.2039,19.1445,19.1304,19.1256,19.0847,19.0591,19.0519,19.0383,19.0053,18.9869,18.968,18.9686,18.9715,18.9512,18.9208,18.9427,18.9861,18.9676,18.915,18.9058,18.8842,18.8943,18.9023,18.9074,18.9214,18.9129,18.8932,18.8666,18.83,18.9341,18.8841,18.8918,18.8954,18.9169,18.9598,18.958,18.9162,18.8812,18.8353,18.9275,18.9652,18.7962,18.7587
OBA,474,52000,414,True,18.7642,18.6558,18.5636,18.5356,18.5459,18.512,18.4493,18.4146,18.3868,18.3995,18.3865,18.3411,18.325,18.3012,18.2706,18.2589,18.2318,18.2141,18.1891,18.1558,18.1493,18.145,18.1165,18.1114,18.0822,18.0786,18.1028,18.0981,18.0553,18.0477,18.0421,18.0379,18.0256,18.0149,18.0044,18.0094,18.0132,18.008,17.9969,17.9981,17.9893,17.9892,17.9904,18.0067,17.9737,17.9636,17.9705,17.9841,17.9717,17.9504,17.9865,17.9977,17.9676
